order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
EC9E8337,526f62657274205461636b555341,Robert Tack,1020,Smart Home Hub,Electronics,Card,1,242.49,2024-08-11 16:17,USA,Phoenix,Amazon,F9F32596,Y,
ED72ED45,4d6172637573204d617070555341,Marcus Mapp,1123,Safety Goggles,Tools,Paypal,1,20.59,2024-10-10 23:07,USA,Phoenix,Target,2F28F34E,Y,
9085D6E7,506174726963696120436f6c6c696e73496e646961,Patricia Collins,1019,4K TV,Electronics,Bank Transfer,3,775.99,2024-05-17 14:41,India,Mumbai,Amazon,3DBCAA73,Y,
E0E95B7B,49736d61656c204c6f776e555341,Ismael Lown,1048,Electric Kettle,Home Appliances,Apple Pay,1,29.09,2024-05-18 11:56,USA,Phoenix,Amazon,7B88DAAB,Y,
DF1E8AD8,52656265636361205261736d757373656e4765726d616e79,Rebecca Rasmussen,1035,Formal Suit,Clothing,Paypal,6,299.99,2024-05-24 13:43,Germany,Hamburg,Walmart,D9A5ABD9,Y,
E13FEEB1,4d6172696c796e2048696c6c6d616e555341,Marilyn Hillman,1131,Hiking Backpack,Sporting Goods,Card,1,126.09,2024-07-04 08:04,USA,Los Angeles,Amazon,3F6AB1B3,Y,
CDF246E5,4272616e64692048616b65734765726d616e79,Brandi Hakes,1112,Toolbox,Tools,Paypal,1,96.99,2024-05-15 15:13,Germany,Berlin,Amazon,396AC29D,Y,
D275C429,4d61727920477265676f7279555341,Mary Gregory,1112,Toolbox,Tools,Card,1,99.99,2024-08-08 04:38,USA,Los Angeles,Walmart,47B8C846,Y,
89D22540,4d617269616e6e6520436f6e776179555341,Marianne Conway,1058,Refrigerator,Home Appliances,Bank Transfer,2,581.99,2024-04-13 22:17,USA,Los Angeles,Amazon,3040123D,Y,
7BC9B0A0,4469616e652042616e63726f6674555341,Diane Bancroft,1064,Rice Cooker,Home Appliances,Card,2,87.29,2024-09-11 11:51,USA,Houston,Amazon,817E358F,Y,
1DDCEF2A,4a757374696e20466169726368696c64555341,Justin Fairchild,1002,Tablet,Electronics,Card,1,581.99,2024-06-15 15:17,USA,New York,Amazon,705CC71B,Y,
E969BE58,4a65616e20536c6f77696e736b69554b,Jean Slowinski,1145,Knee Pads,Sporting Goods,Bank Transfer,3,19.39,2024-11-09 11:41,UK,Glasgow,Amazon,F3905560,Y,
3237C9BE,4a6f686e204d6172616e614a6170616e,John Marana,1127,Sleeping Bag,Sporting Goods,Card,1,87.29,2024-01-12 06:58,Japan,Nagoya,Amazon,49A965AD,N,Insufficent Funds
21A56C1F,4e616e6379204e6f6f7269555341,Nancy Noori,1112,Toolbox,Tools,Card,1,102.99,2024-06-01 11:12,USA,Phoenix,Target,05F55876,Y,
934A3EC1,57696c6c69616d2048656e646572736f6e4a6170616e,William Henderson,1083,Drawing Kit,Toys,Bank Transfer,3,30.89,2024-07-12 19:57,Japan,Osaka,Target,0EE5CB48,Y,
B8AABE7C,4861726f6c642047696c6c6573706965555341,Harold Gillespie,1053,Dishwasher,Home Appliances,Card,2,387.99,2024-03-11 06:40,USA,Los Angeles,Amazon,BF6515BF,Y,
FAC069ED,4461766964205765726e6572555341,David Werner,1008,Gaming Console,Electronics,Bank Transfer,2,484.99,2024-11-11 21:39,USA,Houston,Amazon,E72921C4,Y,
16CFC4C4,456d696c696120446576616c6b496e646961,Emilia Devalk,1051,Blender,Home Appliances,Paypal,1,145.49,2024-09-12 20:50,India,Bangalore,Amazon,21FF48B2,Y,
16CFC4C4,456d696c696120446576616c6b496e646961,Emilia Devalk,1051,Blender,Home Appliances,Paypal,1,145.49,2024-09-12 20:50,India,Bangalore,Amazon,21FF48B2,Y,
D5BE50C5,566963746f726961205068696c6c697073555341,Victoria Phillips,1003,Laptop,Electronics,Bank Transfer,2,1029.99,2024-08-24 14:44,USA,Phoenix,Target,EB7AC807,N,Fraud
1CF1770D,52656e656520526f77656e555341,Renee Rowen,1049,Microwave Oven,Home Appliances,Bank Transfer,2,126.09,2024-06-17 05:15,USA,Houston,Amazon,3D7F9547,Y,
6AF9F340,4c6175726120436f666665794a6170616e,Laura Coffey,1116,Socket Set,Tools,Bank Transfer,1,48.49,2024-08-01 04:26,Japan,Sapporo,Amazon,F531E586,Y,
6BA18B95,4573746865722041746b696e73555341,Esther Atkins,1019,4K TV,Electronics,Bank Transfer,1,775.99,2024-02-18 10:23,USA,Phoenix,Amazon,2BBFBE24,Y,
A0A3100A,4c6f75697365204e69656c73656e554b,Louise Nielsen,1007,Noise-Cancelling Headphones,Electronics,Card,3,257.49,2024-01-03 16:22,UK,London,Target,7FBA0DA3,Y,
A82DA37B,45696c65656e204d617274696e555341,Eileen Martin,1070,Puzzle Game,Toys,Paypal,1,29.09,2024-02-12 06:11,USA,Phoenix,Amazon,DC60A245,Y,
B955B4A0,4c696e64612053616e646572734a6170616e,Linda Sanders,1012,Wireless Mouse,Electronics,Paypal,2,67.89,2024-06-09 18:04,Japan,Tokyo,Amazon,9F469309,Y,
53A67EEA,57617272656e204b756e6465555341,Warren Kunde,1020,Smart Home Hub,Electronics,Card,2,242.49,2024-10-27 06:23,USA,Los Angeles,Amazon,8FB38B48,Y,
5BD830DF,48656174686572204d6f6568726c65555341,Heather Moehrle,1042,Summer Hat,Clothing,Card,7,16.47,2024-03-31 09:07,USA,Chicago,Target,265CF997,Y,DAFDC389
430F633F,53616d20466c6f7964555341,Sam Floyd,1066,Lego Set,Toys,Card,1,38.79,2024-07-10 10:25,USA,Los Angeles,Amazon,50F22149,Y,
6594F357,526f62696e2054686f6d70736f6e555341,Robin Thompson,1082,Toy Robot,Toys,Card,2,48.49,2024-09-03 06:25,USA,Phoenix,Amazon,0EE6CAD1,N,Insufficent Funds
56F27CA4,416c62657274612042656e746c6579555341,Alberta Bentley,1113,Wrench Set,Tools,Bank Transfer,1,38.79,2024-03-17 04:52,USA,Los Angeles,Amazon,2F1F8575,Y,
CE16AFCF,54696d6f746879205374726f6873636865696e554b,Timothy Strohschein,1088,Self-Help Guide,Books,Paypal,1,20.59,2024-12-02 11:27,UK,Manchester,Target,1EC86817,Y,
36AE0E63,5269636b2042726f776e555341,Rick Brown,1115,Electric Sander,Tools,Card,1,82.39,2024-02-22 14:25,USA,Phoenix,Target,EE806B69,Y,
E96E1964,526f7920456d6d6f6e73555341,Roy Emmons,1052,Food Processor,Home Appliances,Card,1,242.49,2024-07-07 04:31,USA,New York,Amazon,FF724DEB,Y,
EFE287AD,4672616e6b20477565727265726f555341,Frank Guerrero,1106,Cordless Drill,Tools,Paypal,1,199.99,2024-06-01 05:39,USA,Phoenix,Walmart,E9AB8EAA,Y,
7710C5F1,446f75676c617320526f6265727473496e646961,Douglas Roberts,1042,Summer Hat,Clothing,Apple Pay,1,16.47,2024-04-22 02:01,India,Bangalore,Target,04791015,Y,
76C8A24E,4b6174656c796e2054686f6d6173555341,Katelyn Thomas,1046,Air Purifier,Home Appliances,Apple Pay,1,149.99,2024-12-01 07:50,USA,Chicago,Walmart,1DEF363E,Y,
CAA89F52,4a6f736570682048617272696d616e555341,Joseph Harriman,1112,Toolbox,Tools,Card,2,102.99,2024-05-05 11:16,USA,Los Angeles,Target,48CE154D,N,Technical Issues
13FEAB87,427269616e20526f6265727473554b,Brian Roberts,1106,Cordless Drill,Tools,Card,1,193.99,2024-06-24 03:48,UK,Leeds,Amazon,9F3D9843,Y,
D03FAB5C,446169737920526f6d6967496e646961,Daisy Romig,1078,Rubik’s Cube,Toys,Bank Transfer,3,9.69,2024-11-13 20:38,India,Hyderabad,Amazon,06CF686F,Y,
F6BA0214,537565205374657068656e736f6e555341,Sue Stephenson,1050,Coffee Maker,Home Appliances,Card,1,205.99,2024-03-30 14:19,USA,Phoenix,Target,424F5CF4,Y,
893185C3,42696c6c7920436f6c656d616e555341,Billy Coleman,1028,Leather Jacket,Clothing,Paypal,8,205.99,2024-10-14 18:56,USA,Chicago,Target,83BF6F04,Y,
6AF4BB0B,416e647265612042757267686572496e646961,Andrea Burgher,1082,Toy Robot,Toys,Card,2,48.49,2024-10-19 06:28,India,Hyderabad,Amazon,ADCA5E50,Y,
7A233BE7,4a65616e20436869646573746572555341,Jean Chidester,1140,Skateboard,Sporting Goods,Paypal,2,51.49,2024-11-20 10:29,USA,New York,Target,3C4F9847,Y,
D618E24F,5669746f20446177736f6e4a6170616e,Vito Dawson,1005,Smartwatch,Electronics,Apple Pay,2,290.99,2024-12-31 10:27,Japan,Nagoya,Amazon,F700E412,Y,
DA7B63A1,4a616d657320436c61726b65555341,James Clarke,1097,DIY Home Improvement Guide,Books,Bank Transfer,2,24.24,2024-02-17 15:38,USA,Chicago,Amazon,12EFEB9D,Y,
66054C69,526f62696e205461796c6f724a6170616e,Robin Taylor,1042,Summer Hat,Clothing,Card,2,16.47,2024-05-12 22:37,Japan,Osaka,Target,1D63DCC5,Y,
EB9D758C,5269636861726420486176656c555341,Richard Havel,1074,Plush Toy,Toys,Apple Pay,2,14.54,2024-07-09 06:44,USA,Houston,Amazon,F1BC9C33,N,Incorrect Inforamtion
9723ABC5,4461766964205061796e654a6170616e,David Payne,1022,Streaming Device,Electronics,Card,2,51.49,2024-12-03 23:28,Japan,Sapporo,Target,7B039329,Y,
A5960742,4d6569204c61636b65794765726d616e79,Mei Lackey,1079,Electric Train Set,Toys,Card,2,44.99,2024-12-01 13:22,Germany,Frankfurt,Walmart,18ECDA03,Y,
98F88F47,436861726c657320466f6c736f6d554b,Charles Folsom,1079,Electric Train Set,Toys,Card,1,46.34,2024-11-21 11:12,UK,Glasgow,Target,19F1E745,Y,
1D56EB61,486569646920536d6974684765726d616e79,Heidi Smith,1050,Coffee Maker,Home Appliances,Card,1,205.99,2024-12-01 16:42,Germany,Berlin,Target,932BEB4C,Y,
D034EB7E,4c696e6461204d636d696c6c69616e4a6170616e,Linda Mcmillian,1002,Tablet,Electronics,Card,2,581.99,2024-11-27 01:03,Japan,Osaka,Amazon,F39ED7EA,Y,
856A8C9A,436861726c65732056696e63656e7465554b,Charles Vincente,1071,Board Game,Toys,Bank Transfer,1,39.99,2024-02-06 14:56,UK,Manchester,Walmart,54B698E5,Y,
856A8C9A,436861726c65732056696e63656e7465554b,Charles Vincente,1071,Board Game,Toys,Bank Transfer,1,39.99,2024-02-06 14:56,UK,Manchester,Walmart,54B698E5,Y,
6DAEC169,566963746f726961205475636b4765726d616e79,Victoria Tuck,1015,VR Headset,Electronics,Card,2,387.99,2024-01-21 14:59,Germany,Munich,Amazon,403BC18E,N,Insufficent Funds
878032D0,5374656c6c61204d63636f79555341,Stella Mccoy,1081,Dinosaur Toy,Toys,Card,3,36.04,2024-11-19 01:29,USA,New York,Target,A9BDE8F7,Y,
EFB9B4BA,526963686172642050696e614a6170616e,Richard Pina,1129,Electric Guitar,Sporting Goods,Apple Pay,1,484.99,2024-10-17 01:18,Japan,Yokohama,Amazon,608D098A,Y,
02602C5B,526f626572742041696e73776f727468555341,Robert Ainsworth,1012,Wireless Mouse,Electronics,Card,1,72.09,2024-10-01 21:30,USA,Los Angeles,Target,77C9FCB8,Y,
1367A7DA,54796c65722046656c6b6572555341,Tyler Felker,1059,Room Heater,Home Appliances,Paypal,1,257.49,2024-06-29 03:03,USA,Los Angeles,Target,6D313DFC,Y,
6469E2BA,4a6f686e2044616e64726561555341,John Dandrea,1120,Caulking Gun,Tools,Bank Transfer,1,67.89,2024-06-17 07:55,USA,Phoenix,Amazon,AF7FD958,Y,
