order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
35D79E4B,4a6f686e20536f776572734765726d616e79,John Sowers,1014,HDMI Cable,Electronics,Paypal,1,14.54,2024-12-27T22:41:52.000-08:00,Germany,Cologne,Amazon,A0F632CC,Y,
3FADE343,42617262617261204a61636b736f6e4a6170616e,Barbara Jackson,1050,Coffee Maker,Home Appliances,Bank Transfer,1,193.99,2024-01-23T05:53:42.000-08:00,Japan,Tokyo,Amazon,CB9BA169,Y,
1BCD79A7,4a6f736875612057696c6c69616d73554b,Joshua Williams,1132,Mountain Bike,Sporting Goods,Paypal,2,360.49,2024-11-23T13:27:02.000-08:00,UK,Birmingham,Target,407CF024,Y,
4B7B7B31,426f6e6e6965204861727269736f6e4765726d616e79,Bonnie Harrison,1047,Robot Vacuum Cleaner,Home Appliances,Card,2,484.99,2024-12-28T15:25:38.000-08:00,Germany,Munich,Amazon,916E1495,Y,
F59E0BEF,53616d75656c2053686f656d616b6572555341,Samuel Shoemaker,1026,Cotton T-Shirt,Clothing,Paypal,1,19.39,2024-02-13T07:53:04.000-08:00,USA,New York,Amazon,8698BD96,Y,
EE432511,436872697374696e6520537973796e555341,Christine Sysyn,1029,Running Shoes,Clothing,Card,7,89.99,2024-05-27T02:17:03.000-07:00,USA,Phoenix,Walmart,D530AE33,Y,
8149486A,446f75676c61732053696d6d6f6e73555341,Douglas Simmons,1142,Resistance Bands,Sporting Goods,Card,3,169.68,2024-03-05T08:08:55.000-08:00,USA,Houston,Amazon,BE81EAE9,N,Insufficent Funds
934FD180,52656265636361204b696e674765726d616e79,Rebecca King,1019,4K TV,Electronics,Card,2,823.99,2024-06-25T10:21:08.000-07:00,Germany,Cologne,Target,F3953FE6,Y,
8E8C29EE,4a757374696e204d75656c6c6572555341,Justin Mueller,1126,Camping Tent,Sporting Goods,Card,1,199.99,2024-05-05T09:54:30.000-07:00,USA,Houston,Walmart,5DAB1CAA,Y,
7D5B4320,4261726272612043617374726f555341,Barbra Castro,1023,Car Dash Cam,Electronics,Card,2,116.39,2024-08-23T04:41:00.000-07:00,USA,Chicago,Amazon,E959D75E,Y,
2C76FD7B,4a65737365204a656e6b696e73496e646961,Jesse Jenkins,1053,Dishwasher,Home Appliances,Paypal,1,411.99,2024-05-25T02:38:49.000-07:00,India,Delhi,Target,E42F500E,Y,
18314CC8,4d69636861656c2054686f6d6173554b,Michael Thomas,1057,Washing Machine,Home Appliances,Card,1,290.99,2024-11-12T14:33:27.000-08:00,UK,Manchester,Amazon,7F806E5D,Y,
41311899,4561726c2057726169676874555341,Earl Wraight,1033,Yoga Pants,Clothing,Apple Pay,4,29.09,2024-12-05T14:39:26.000-08:00,USA,Los Angeles,Amazon,7F074E00,Y,
B11990E6,52757373656c6c204261726e65734a6170616e,Russell Barnes,1006,Bluetooth Speaker,Electronics,Bank Transfer,1,154.49,2024-02-02T21:17:58.000-08:00,Japan,Osaka,Target,7F05832C,Y,
411980DB,4a756c6961204172656c6c616e6f496e646961,Julia Arellano,1145,Knee Pads,Sporting Goods,Bank Transfer,3,20.59,2024-01-02T10:49:08.000-08:00,India,Delhi,Target,85CEDF10,Y,
B1D620D0,416e74686f6e792053696e676c65746f6e496e646961,Anthony Singleton,1051,Blender,Home Appliances,Apple Pay,2,145.49,2024-05-04T00:19:22.000-07:00,India,Bangalore,Amazon,4BD16BBB,Y,
D2028E27,4a6f6e2042726f776e555341,Jon Brown,1022,Streaming Device,Electronics,Card,3,51.49,2024-04-23T06:35:59.000-07:00,USA,Los Angeles,Target,DF949C0F,N,Incorrect Inforamtion
EE767AE0,436861726c657320537461686c554b,Charles Stahl,1053,Dishwasher,Home Appliances,Card,2,411.99,2024-11-29T19:48:18.000-08:00,UK,Birmingham,Target,E9047A6F,Y,
10BC73AF,456467617220506574726965555341,Edgar Petrie,1133,Trekking Poles,Sporting Goods,Card,2,38.79,2024-09-30T03:43:09.000-07:00,USA,Los Angeles,Amazon,22840145,Y,
9CCC3BFF,416e74686f6e792057696c6c69616d73555341,Anthony Williams,1054,Toaster,Home Appliances,Card,1,38.79,2024-02-02T01:29:39.000-08:00,USA,Chicago,Amazon,9E348117,Y,
611FDA4C,4c6f7569736520416b6b65726d616e555341,Louise Akkerman,1008,Gaming Console,Electronics,Paypal,3,514.99,2024-09-18T13:52:46.000-07:00,USA,New York,Target,5F7B4D4C,Y,
8105336F,526974612052656564496e646961,Rita Reed,1068,Dollhouse,Toys,Card,3,49.99,2024-12-08T18:06:00.000-08:00,India,Ahmedabad,Walmart,38E3094C,Y,
DDFF803D,4d617274682048656f6e555341,Marth Heon,1063,Vacuum Cleaner,Home Appliances,Paypal,1,193.99,2024-12-15T04:36:48.000-08:00,USA,Houston,Amazon,0BC71ED4,Y,
31F23F31,4d61726b2041726d61676f73744765726d616e79,Mark Armagost,1004,Desktop Computer,Electronics,Card,1,1164.0,2024-04-20T12:37:19.000-07:00,Germany,Munich,Amazon,272727DB,Y,
F0C08E72,56697267696e696120436f636872616e555341,Virginia Cochran,1051,Blender,Home Appliances,Apple Pay,1,145.49,2024-11-02T17:01:02.000-07:00,USA,New York,Amazon,4C20183D,Y,
A11F40F7,4a616e6574204162656c4765726d616e79,Janet Abel,1102,Graphic Novel,Books,Apple Pay,2,30.89,2024-03-26T15:49:08.000-07:00,Germany,F9605A24,Target,41ED0657,N,Technical Issues
B4C94877,526f62657274204d7572706879554b,Robert Murphy,1008,Gaming Console,Electronics,Bank Transfer,2,484.99,2024-08-22T15:12:10.000-07:00,UK,Manchester,Amazon,B0C8C327,Y,
748D4254,4a656666726579205461796c6f72555341,Jeffrey Taylor,1128,Yoga Mat,Sporting Goods,Paypal,4,33.94,2024-11-15T11:44:18.000-08:00,USA,Los Angeles,Amazon,0F3FA835,Y,
361DE001,4d61646c796e2050616765555341,Madlyn Page,1097,DIY Home Improvement Guide,Books,Card,1,25.74,2024-06-22T07:32:57.000-07:00,USA,Phoenix,Target,B0ED61CB,Y,
526B533F,4a656666726579204a6f686e736f6e555341,Jeffrey Johnson,1126,Camping Tent,Sporting Goods,Card,3,193.99,2024-07-04T08:26:06.000-07:00,USA,Houston,Amazon,E98F29AC,Y,
5CA3DE48,4a616e657420426f6c64696e67555341,Janet Bolding,1002,Tablet,Electronics,Bank Transfer,1,581.99,2024-03-02T04:38:57.000-08:00,USA,Houston,Amazon,7AA9E2F6,N,Insufficent Funds
