order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1736921149108.0,65,Chen Lin,768824974356102073,Computer Speakers,Computers,Taobao,1,$60,2024-06-09,China,Shanghai,www.tianmao.com,1736921149109,Y,
1736921149109.0,91,Noah Braun,6391796652894836743,CD,Music,Paypal,4,$12,2024-05-15,Germany,Munich,www.ftatacliq.com,1736921149110,Y,
1736921149110.0,14,Tran Thi Mai,14946995402087979752,Air Conditioner,FurnitureAndAppliances,Visa,1,$600,2024-06-09,Vietnam,Hanoi,www.ftatacliq.com,1736921149110,Y,
1736921149111.0,22,Olivia Anderson,12079358467753868040,Scarf,WarmClothing,Paypal,3,$15,2024-01-05,Canada,Vancouver,www.ftatacliq.com,1736921149111,Y,
1736921149112.0,17,Kim Min-ji,18402762541955891253,Keyboard and Mouse,Computers,Visa,1,$50,2024-08-09,South Korea,Busan,www.ftatacliq.com,1736921149112,Y,
1736921149113.0,38,Jonas Bauer,18394699580320542136,Beanie Hat,WarmClothing,Paypal,1,$10,2024-02-07,Germany,Munich,www.ftatacliq.com,1736921149113,Y,
1736921149114.0,5,John Smith,15810585677199712669,Leather Gloves,WarmClothing,Apple Pay,3,$25,2024-06-18,United States,Chicago,www.ftatacliq.com,1736921149114,Y,
1736921149115.0,71,Sota Watanabe,3712736963929970389,Canned Goods,Food,Visa,3,$3,2024-02-11,Japan,Kyoto,www.amazon.com,1736921149115,Y,
1736921149115.0,70,Henry Clark,14282127254991108845,USB Flash Drive,Computers,Apple Pay,2,$20,2024-01-27,United States,New York,www.ebay.com,1736921149116,Y,
1736921149116.0,1,Sofia Rossi,8857201779539521608,Blu-ray,Movies,Visa,3,$15,2024-12-22,Italy,Milan,www.ebay.com,1736921149117,Y,
1736921149117.0,86,Valentina Vargas,18394699580320542136,Beanie Hat,WarmClothing,Visa,1,$10,2024-09-10,Mexico,Mexico City,www.amazon.com,1736921149117,Y,
1736921149118.0,92,Sora Miura,18394699580320542136,Beanie Hat,WarmClothing,Paypal,1,$10,2024-02-11,Japan,Osaka,www.ebay.com,1736921149118,Y,
1736921149119.0,38,Jonas Bauer,17796167310030729618,Vinyl Records,Music,Visa,1,$25,2024-10-31,Germany,Munich,www.amazon.com,1736921149119,Y,
1736921149119.0,50,Zhang Wei,10511479536038140999,Yoga Mat,SportsAndOutdoors,Paypal,2,$20,2024-09-28,China,Guangzhou,www.tianmao.com,1736921149120,Y,
